Data,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees
2024-01-01,79,80,72,56,57,52,95,71,29,29.7,29.19,29.34,8,6,1,19,18,26,0.1,6,Clear,299
2024-01-02,101,78,53,63,62,49,84,40,44,29.58,29.68,28.86,9,7,2,17,11,37,0.1,7,Cloudy,257
2024-01-03,94,80,61,61,69,47,86,52,25,29.73,29.79,28.98,8,4,1,22,14,22,0.1,2,Cloudy,339
2024-01-04,80,84,53,57,53,41,76,67,27,30.21,29.36,28.71,8,4,1,25,15,20,0.1,5,Clear,359
2024-01-05,100,69,68,60,43,47,98,64,49,30.42,29.91,29.36,8,7,2,25,17,26,0.1,5,Clear,214
2024-01-06,104,69,74,50,51,31,83,66,37,30.48,29.7,29.22,9,6,3,27,15,38,0.5,1,Fog,128
2024-01-07,88,77,65,52,67,41,69,51,22,29.95,29.22,29.47,5,6,4,16,15,28,0.1,5,Thunderstorm,204
2024-01-08,101,79,50,68,42,54,76,76,52,29.9,29.87,29.04,9,5,4,27,13,33,0.1,4,Fog,298
2024-01-09,87,66,78,56,66,55,70,65,50,29.81,29.92,28.96,9,3,3,17,18,20,0.1,5,Fog,43
2024-01-10,79,84,72,52,69,42,84,41,31,29.58,29.84,29.5,5,5,1,19,10,29,0.0,7,Clear,285
2024-01-11,104,66,64,61,57,40,98,76,53,29.66,29.19,29.02,8,3,3,14,7,27,0.0,0,Cloudy,301
2024-01-12,101,94,63,59,50,53,93,66,29,30.19,29.7,29.15,6,7,2,25,19,25,1.0,9,Thunderstorm,71
2024-01-13,101,89,52,69,66,41,80,48,38,29.54,29.02,29.5,9,5,1,17,14,31,2.0,3,Rain,242
2024-01-14,90,92,67,66,66,38,62,58,56,30.08,29.31,29.48,6,4,1,28,9,24,0.2,5,Cloudy,285
2024-01-15,75,73,81,51,49,56,80,71,26,29.96,29.56,28.91,9,7,1,12,12,33,2.0,0,Cloudy,13
2024-01-16,88,84,63,63,49,33,68,44,48,29.93,29.49,29.0,7,3,2,10,14,37,1.0,6,Thunderstorm,186
2024-01-17,80,90,55,61,51,55,63,47,41,29.8,29.88,28.64,7,7,2,12,8,24,2.0,8,Cloudy,248
2024-01-18,87,89,64,64,53,40,62,53,45,30.5,29.37,28.59,7,6,4,18,11,26,0.0,7,Clear,255
2024-01-19,78,68,78,64,46,35,60,66,20,29.89,29.57,28.94,5,4,2,23,10,37,2.0,2,Fog,41
2024-01-20,79,74,52,73,63,57,73,42,20,29.54,29.25,29.1,7,7,2,25,17,37,0.0,3,Rain,14
2024-01-21,100,94,68,71,68,32,69,51,23,29.52,29.55,28.71,6,4,2,16,9,30,0.1,4,Thunderstorm,139
2024-01-22,104,67,75,74,49,40,71,78,59,30.07,29.83,28.82,7,4,2,19,8,28,2.0,4,Clear,312
2024-01-23,90,80,50,66,43,43,87,76,37,30.35,29.62,28.79,5,5,4,18,14,39,0.1,2,Cloudy,314
2024-01-24,95,71,56,64,43,51,79,64,24,29.69,29.72,28.97,6,6,4,21,16,24,0.2,2,Cloudy,139
2024-01-25,98,79,54,65,40,35,80,53,47,29.65,29.3,29.06,8,4,1,29,14,22,0.5,6,Rain,74
2024-01-26,97,81,53,55,65,36,85,77,35,30.38,29.3,29.19,5,3,3,23,9,25,0.2,2,Thunderstorm,1
2024-01-27,100,74,52,58,61,38,91,50,33,29.6,29.8,29.25,6,3,1,24,5,25,0.0,5,Thunderstorm,143
2024-01-28,84,65,64,57,54,45,63,47,35,29.75,29.86,28.53,5,3,3,25,15,24,0.2,8,Clear,292
2024-01-29,85,85,65,73,49,42,86,44,25,29.85,29.76,28.69,5,5,2,14,11,28,0.0,1,Thunderstorm,280
2024-01-30,95,70,66,74,57,59,75,61,47,30.49,29.31,29.13,6,3,4,10,9,37,0.0,9,Rain,206
